pair_id,experiment,well_id,label,site,nuisance_seed,canonical_array_equal,exact_action_bottleneck,finite_bars,essential_bars,perturbation_epsilon,realized_sup_norm,realized_l2_norm,perturbation_bottleneck,gaussian_bandwidth,gaussian_rkhs_distance,l2_recovered_from_rkhs,bottleneck_le_sup_norm,sup_norm_le_l2
pair_01,HUVEC-22,HUVEC-22_2_K23,0,2,20260731,True,0.0,29,1,0.00392156862745098,0.003916016494894937,0.03518394442723353,0.003916016494894937,1.0,0.03517850080986591,0.035183944427232675,True,True
pair_01,HUVEC-22,HUVEC-22_2_G09,1,1,20260731,True,0.0,14,1,0.00392156862745098,0.003920347830804881,0.03563844139399911,0.003912145744632545,1.0,0.035632784101105125,0.03563844139399849,True,True
pair_01,HUVEC-22,HUVEC-22_2_G09,1,2,20260731,True,0.0,6,1,0.00392156862745098,0.0039114003926021546,0.03572881493985282,0.0038665123329561304,1.0,0.03572311450351427,0.03572881493985343,True,True
pair_01,HUVEC-23,HUVEC-23_2_E12,0,1,20260731,True,0.0,31,1,0.00392156862745098,0.003915784298705014,0.03613777098267707,0.003915784298705014,1.0,0.036131872571833305,0.03613777098267674,True,True
pair_01,HUVEC-23,HUVEC-23_2_E12,0,2,20260731,True,0.0,25,1,0.00392156862745098,0.003914869478894911,0.03564151860807677,0.003811622814571477,1.0,0.035635859849743684,0.035641518608077294,True,True
pair_01,HUVEC-23,HUVEC-23_2_G10,1,1,20260731,True,0.0,16,1,0.00392156862745098,0.003914140881906059,0.03607155970690362,0.003914140881906059,1.0,0.036065693654808655,0.03607155970690407,True,True
pair_01,HUVEC-23,HUVEC-23_2_G10,1,2,20260731,True,0.0,11,1,0.00392156862745098,0.003877620375553453,0.03391510351716784,0.003877620375553453,1.0,0.03391022781218408,0.033915103517169407,True,True
pair_01,HUVEC-24,HUVEC-24_3_F17,0,1,20260731,True,0.0,32,1,0.00392156862745098,0.003903824870640093,0.03645371127533935,0.0033731131899053853,1.0,0.03644765681907405,0.03645371127534036,True,True
pair_01,HUVEC-24,HUVEC-24_3_F17,0,2,20260731,True,0.0,32,1,0.00392156862745098,0.0039150676756599875,0.0351886487373475,0.0033468776275796634,1.0,0.035183202936339544,0.035188648737346014,True,True
pair_01,HUVEC-24,HUVEC-24_3_E15,1,1,20260731,True,0.0,25,1,0.00392156862745098,0.0039007145800716275,0.03496523881479311,0.0038776659030088038,1.0,0.034959896072783984,0.034965238814791876,True,True
pair_01,HUVEC-24,HUVEC-24_3_E15,1,2,20260731,True,0.0,18,1,0.00392156862745098,0.0039179023739175645,0.03591429318056758,0.003727551966393173,1.0,0.03590850351291254,0.035914293180568775,True,True
