analysis,method,nuisance_seed,pair_id,statistic,p_value,rejected_at_0_05,permutations,role,holm_all_pairs_p,holm_replication_p
acquisition_only_sharp_null,euler_secondary,20260733,pair_06,-0.15113169542160232,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_07,-0.16064275860179678,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_08,-0.15668248215242364,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_09,-0.15894518364970123,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_10,-0.15983216863048788,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_01,-0.16658060711384715,1.0,False,256,primary,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_02,-0.16250653909894097,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_03,-0.15753964595202552,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_04,-0.15924956005548485,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_05,-0.16558776703049616,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_06,-0.1603041415422216,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_07,-0.1569071204059661,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_08,-0.1644506148041479,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_09,-0.15844496027791866,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,quotient_exact,20260734,pair_10,-0.16065955807289267,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,raw_coordinates,20260734,pair_01,0.2115935411898887,0.0078125,True,256,primary,0.078125,0.0078125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_02,0.3035788923239645,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_03,0.2405235757972215,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_04,0.18198869359012904,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_05,0.2631722703631162,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_06,0.21713941760480626,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_07,0.2803966560071285,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_08,0.2617251240214571,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_09,0.3204124674130593,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260734,pair_10,0.2458969059350209,0.0078125,True,256,replication,0.078125,0.0703125
